Metric,Train,Test,Validation
Decision Threshold,0.5,0.5,0.5
Accuracy,0.9041558441558442,0.9078787878787878,0.9139393939393939
Balanced Accuracy,0.8993453355155483,0.9033078880407125,0.9096692111959288
Precision,1.0,1.0,1.0
Recall,0.7986906710310966,0.806615776081425,0.8193384223918575
Specificity,1.0,1.0,1.0
F1-Score,0.8880800727934486,0.8929577464788733,0.9006993006993007
AUC-ROC,0.9867372559647795,0.9885024974083497,0.9813754594288945
PR-AUC,0.9861346038132244,0.9878170393764724,0.9813620044426277
MCC,0.8216881717415273,0.8282155365213726,0.8388601070923203
